"study_id","es_id","outcome_types","treatment_n","control_n","total_N","pub_status","random_assignment","sample_screening","rel_text_causal","text_length","treatment_mean","control_mean","treatment_sd","control_sd","t","d","vd","g","vg"
"Gill2020_1","ES_103","acc_beliefs",40,43,83,"published","random","not_screened",-18.38,434,2.76,2.66,0.64,0.76,NA,NA,NA,0.140570248195945,0.0483804789566582
"Gill2020_1","ES_105","acc_beliefs",36,39,75,"published","random","not_screened",-18.38,434,2.41,2.42,0.53,0.69,NA,NA,NA,-0.0160020255165323,0.0534206002983251
"Gill2020_1","ES_106","acc_beliefs",36,39,75,"published","random","not_screened",-18.38,434,2.68,2.63,0.58,0.58,NA,NA,NA,0.085317655061947,0.053469882945324
"Hunsu2016_1","ES_110","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,1.004,0.335,1.127652429,1.26031742,NA,NA,NA,0.554550407851112,0.0472795781457253
"Hunsu2016_1","ES_111","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,0.75,0.335,1.26031742,1.26031742,NA,NA,NA,0.326400704617703,0.0460867982604391
"Hunsu2016_1","ES_112","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,3.13,3.2,1.326649916,1.459314908,NA,NA,NA,-0.0497557752094981,0.0454692372740525
"Hunsu2016_1","ES_113","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,3.22,3.2,1.525647404,1.459314908,NA,NA,NA,0.0132799629215599,0.0454555920583643
"Hunsu2016_1","ES_114","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,1.054,1.05,0.7959899497,0.8623224455,NA,NA,NA,0.0047781459592625,0.045454680944599
"Hunsu2016_1","ES_115","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,1.29,1.05,0.8623224455,0.8623224455,NA,NA,NA,0.275882708553833,0.0459062324141151
"Hynd  1986b_1","ES_120","acc_beliefs",21.5,21.5,43,"published","random","screened",NA,12,2.69,2.54,2.53,1.97,NA,NA,NA,0.0649375187531818,0.093076967472568
"Hynd  1986b_1","ES_121","acc_beliefs",21.5,21.5,43,"published","random","screened",NA,12,4.73,3.63,2.1,2.26,NA,NA,NA,0.494957566788922,0.0961436762895481
"Hynd1986a_1","ES_116","acc_beliefs",19,19,38,"published","random","screened",NA,12,NA,NA,NA,NA,NA,1.12375093172844,0.508870763873999,1.10017573735651,0.487743506867347
"Hynd1986a_1","ES_117","acc_beliefs",19,19,38,"published","random","screened",NA,12,NA,NA,NA,NA,NA,1.1184935955097,0.45541720406361,1.0950286949046,0.436509227817828
"Hynd1986a_1","ES_118","acc_beliefs",19,19,38,"published","random","screened",NA,12,NA,NA,NA,NA,NA,0.150936849984358,0.414086628795356,0.147770342642029,0.396894612176096
"Hynd1986a_1","ES_119","acc_beliefs",19,19,38,"published","random","screened",NA,12,NA,NA,NA,NA,NA,0.478758348444502,0.419139003117819,0.468714467008603,0.401737222412306
"Kutza 2000_1","ES_128","acc_beliefs",44,49,93,"unpublished","random","not_screened",NA,5,4.23,4.12,0.56,0.55,NA,NA,NA,0.19664882392289,0.043352073792346
"Kutza 2000_1","ES_129","acc_beliefs",45,50,95,"unpublished","random","not_screened",NA,5,4.04,4.09,0.73,0.57,NA,NA,NA,-0.0762278677687174,0.0422540608887212
"Kutza 2000_1","ES_130","acc_beliefs",44,49,93,"unpublished","random","not_screened",NA,5,4.2,4.13,0.59,0.6,NA,NA,NA,0.116616373926936,0.043211621189782
"Kutza 2000_1","ES_131","acc_beliefs",45,50,95,"unpublished","random","not_screened",NA,5,4.04,4.16,0.72,0.56,NA,NA,NA,-0.18578037018305,0.0424113376562572
"Lally 2014_1","ES_132","acc_beliefs",39,39,78,"published","random","not_screened",NA,NA,3.95,3.88,0.56,0.54,NA,NA,NA,0.125991082784984,0.05138894159424
"Lally 2014_1","ES_133","acc_beliefs",39,39,78,"published","random","not_screened",NA,NA,4.03,3.87,0.77,0.77,NA,NA,NA,0.205733724141318,0.0515670675861356
"Lally 2014_1","ES_134","acc_beliefs",39,39,78,"published","random","not_screened",NA,NA,4.05,4.04,0.7,0.75,NA,NA,NA,0.0136483507754881,0.0512833056330511
"Lally 2014_1","ES_135","acc_beliefs",39,39,78,"published","random","not_screened",NA,NA,4.26,4.13,0.54,0.48,NA,NA,NA,0.251941278446862,0.0517094737882006
"Lem2015_1","ES_136","acc_beliefs",41,45,86,"published","random","not_screened",NA,NA,NA,NA,NA,NA,NA,0.496690658674908,0.285483570554466,0.492242682627073,0.280393326627716
"Lem2015_1","ES_138","acc_beliefs",59,45,104,"published","random","not_screened",NA,NA,NA,NA,NA,NA,NA,0.505268315942256,0.258584945739116,0.501543979461109,0.254786932029505
"Lem2016_1","ES_141","acc_beliefs",51,51,102,"published","random","not_screened",NA,NA,NA,NA,NA,NA,NA,0.272831774441848,0.28832776739088,0.270780407716721,0.284008311324478
"Lem2016_1","ES_140","acc_beliefs",51,51,102,"published","random","not_screened",NA,NA,3.53,3.63,NA,NA,-0.649,NA,NA,-0.127554422046239,0.0392984843090402
"Leon2009_1","ES_142","acc_beliefs",113,110,223,"unpublished","random","not_screened",-18.25,4,92.12,77.94,26.5,22.78,NA,NA,NA,0.57132247134214,0.0186848408243608
"Leon2009_1","ES_143","acc_beliefs",113,129,242,"unpublished","random","not_screened",-18.25,1,92.12,102.32,26.5,24.52,NA,NA,NA,-0.399325274880127,0.016936144295439
"Lin 2011_1","ES_148","acc_beliefs",32,28,60,"unpublished","random","screened",-1.73,6,30.97,29.05,17.12,14.47,NA,NA,NA,0.118876727266073,0.067089893140202
"Lin 2011_1","ES_149","acc_beliefs",23,19,42,"unpublished","random","not_screened",-1.73,6,41.81,35.49,17.18,16.29,NA,NA,NA,0.369407398468579,0.0978934246049124
"Lin 2011_1","ES_144","acc_beliefs",17,14,31,"unpublished","random","screened",-1.73,6,3.53,2.71,2.13,1.59,NA,NA,NA,0.418775274923867,0.13346913032911
"Lin 2011_1","ES_145","acc_beliefs",10,8,18,"unpublished","random","not_screened",-1.73,6,6.7,7.13,1.49,1.81,NA,NA,NA,-0.250025153616836,0.227191373906579
"Lin 2011_1","ES_146","acc_beliefs",15,14,29,"unpublished","random","screened",-1.73,0,3.87,2.93,2.07,2.46,NA,NA,NA,0.403148444573247,0.14131267332033
